"Transect.x"	"Treatment.x"	"Livestock.density.x"	"Boma.density.x"	"Plot.name"	"Block.x"	"Plot.pair.x"	"Trt.name.x"	"Replicate.x"	"Harvest"	"Harvest.date.x"	"Reharvest.date"	"GrassNetReharvestBiomass1.x"	"DwarfShrubNetReharvestBiomass1.x"	"HerbNetReharvestBiomass1.x"	"ClimberNetReharvestBiomass1.x"	"TotalBiomass1.x"	"GrassNetReharvestBiomass0.x"	"DwarfShrubNetReharvestBiomass0.x"	"HerbNetReharvestBiomass0.x"	"ClimberNetReharvestBiomass0.x"	"TotalBiomass0.x"	"rain.mm"	"min_distExclosures.x"	"boma_density.x"	"Trt.name.y"	"Transect.y"	"Treatment.y"	"Livestock.density.y"	"Boma.density.y"	"Block.y"	"Plot.pair.y"	"Replicate.y"	"Harvest.date.y"	"GrassNetReharvestBiomass1.y"	"DwarfShrubNetReharvestBiomass1.y"	"HerbNetReharvestBiomass1.y"	"ClimberNetReharvestBiomass1.y"	"TotalBiomass1.y"	"GrassNetReharvestBiomass0.y"	"DwarfShrubNetReharvestBiomass0.y"	"HerbNetReharvestBiomass0.y"	"ClimberNetReharvestBiomass0.y"	"TotalBiomass0.y"	"min_distExclosures.y"	"boma_density.y"	"X"	"Y"	"nearest_in_set2"	"fX"
2	"Control"	"High"	"High"	"B2Ex1Cp1P1"	"B2"	"B3"	"B2Ex1"	1	"double"	""	"25.11.2012"	16.9	0	0.7	0	17.6	16.9	0	0.7	0	17.6	81.00000072	2391.465228	2.77e-06	"B2Ex1"	2	"Control"	"High"	"High"	"B2"	"B3"	1	""	16.9	0	0.7	0	17.6	16.9	0	0.7	0	17.6	2391.46522830699	2.76725400067331e-06	352814	655104	15	"B9"
2	"Control"	"High"	"High"	"B2Ex1Cp1P2"	"B2"	"B3"	"B2Ex1"	2	"double"	""	"25.11.2012"	40	7.4	2.1	0	49.5	40	7.4	2.1	0	49.5	81.00000072	2391.465228	2.77e-06	"B2Ex1"	2	"Control"	"High"	"High"	"B2"	"B3"	2	""	40	7.4	2.1	0	49.5	40	7.4	2.1	0	49.5	2391.46522830699	2.76725400067331e-06	352814	655104	15	"B9"
2	"Control"	"High"	"High"	"B2Ex1Cp1P3"	"B2"	"B3"	"B2Ex1"	3	"double"	""	"25.11.2012"	38.2	0	0	0	38.2	38.2	0	0	0	38.2	81.00000072	2391.465228	2.77e-06	"B2Ex1"	2	"Control"	"High"	"High"	"B2"	"B3"	3	""	38.2	0	0	0	38.2	38.2	0	0	0	38.2	2391.46522830699	2.76725400067331e-06	352814	655104	15	"B9"
2	"Control"	"High"	"High"	"B2Ex1Cp1P4"	"B2"	"B3"	"B2Ex1"	4	"double"	""	"25.11.2012"	57	0	0	0	57	57	0	0	0	57	81.00000072	2391.465228	2.77e-06	"B2Ex1"	2	"Control"	"High"	"High"	"B2"	"B3"	4	""	57	0	0	0	57	57	0	0	0	57	2391.46522830699	2.76725400067331e-06	352814	655104	15	"B9"
2	"Control"	"High"	"High"	"B2Ex1Cp1P5"	"B2"	"B3"	"B2Ex1"	5	"double"	""	"25.11.2012"	24.7	0	0	0	24.7	24.7	0	0	0	24.7	81.00000072	2391.465228	2.77e-06	"B2Ex1"	2	"Control"	"High"	"High"	"B2"	"B3"	5	""	24.7	0	0	0	24.7	24.7	0	0	0	24.7	2391.46522830699	2.76725400067331e-06	352814	655104	15	"B9"
2	"Exclosure"	"Medium"	"High"	"B2Ex2P1"	"B2"	"B4"	"B2Ex2"	1	"double"	""	"25.11.2012"	130.2	0	7.9	0	138.1	130.2	0	7.9	0	138.1	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Exclosure"	"Medium"	"High"	"B2"	"B4"	1	""	130.2	0	7.9	0	138.1	130.2	0	7.9	0	138.1	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Exclosure"	"Medium"	"High"	"B2Ex2P2"	"B2"	"B4"	"B2Ex2"	2	"double"	""	"25.11.2012"	129.7	11.9	0	0	141.6	129.7	11.9	0	0	141.6	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Exclosure"	"Medium"	"High"	"B2"	"B4"	2	""	129.7	11.9	0	0	141.6	129.7	11.9	0	0	141.6	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Exclosure"	"Medium"	"High"	"B2Ex2P3"	"B2"	"B4"	"B2Ex2"	3	"double"	""	"25.11.2012"	207.2	0	0	0	207.2	207.2	0	0	0	207.2	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Exclosure"	"Medium"	"High"	"B2"	"B4"	3	""	207.2	0	0	0	207.2	207.2	0	0	0	207.2	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Exclosure"	"Medium"	"High"	"B2Ex2P4"	"B2"	"B4"	"B2Ex2"	4	"double"	""	"25.11.2012"	133.5	0.9	0	0	134.4	133.5	0.9	0	0	134.4	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Exclosure"	"Medium"	"High"	"B2"	"B4"	4	""	133.5	0.9	0	0	134.4	133.5	0.9	0	0	134.4	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Exclosure"	"Medium"	"High"	"B2Ex2P5"	"B2"	"B4"	"B2Ex2"	5	"double"	""	"25.11.2012"	82.6	2.2	1	3.7	89.5	82.6	2.2	1	3.7	89.5	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Exclosure"	"Medium"	"High"	"B2"	"B4"	5	""	82.6	2.2	1	3.7	89.5	82.6	2.2	1	3.7	89.5	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Control"	"Medium"	"High"	"B2Ex2Cp1P1"	"B2"	"B4"	"B2Ex2"	1	"double"	""	"25.11.2012"	181.4	3.2	3.9	8.8	197.3	181.4	3.2	3.9	8.8	197.3	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Control"	"Medium"	"High"	"B2"	"B4"	1	""	181.4	3.2	3.9	8.8	197.3	181.4	3.2	3.9	8.8	197.3	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Control"	"Medium"	"High"	"B2Ex2Cp1P2"	"B2"	"B4"	"B2Ex2"	2	"double"	""	"25.11.2012"	103	11.3	0	0	114.3	103	11.3	0	0	114.3	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Control"	"Medium"	"High"	"B2"	"B4"	2	""	103	11.3	0	0	114.3	103	11.3	0	0	114.3	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Control"	"Medium"	"High"	"B2Ex2Cp1P3"	"B2"	"B4"	"B2Ex2"	3	"double"	""	"25.11.2012"	167.9	0	0.6	0	168.5	167.9	0	0.6	0	168.5	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Control"	"Medium"	"High"	"B2"	"B4"	3	""	167.9	0	0.6	0	168.5	167.9	0	0.6	0	168.5	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Control"	"Medium"	"High"	"B2Ex2Cp1P4"	"B2"	"B4"	"B2Ex2"	4	"double"	""	"25.11.2012"	98.2	0	0	0	98.2	98.2	0	0	0	98.2	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Control"	"Medium"	"High"	"B2"	"B4"	4	""	98.2	0	0	0	98.2	98.2	0	0	0	98.2	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
2	"Control"	"Medium"	"High"	"B2Ex2Cp1P5"	"B2"	"B4"	"B2Ex2"	5	"double"	""	"25.11.2012"	162.5	0	0	0	162.5	162.5	0	0	0	162.5	81.00000072	2975.927251	2.3e-06	"B2Ex2"	2	"Control"	"Medium"	"High"	"B2"	"B4"	5	""	162.5	0	0	0	162.5	162.5	0	0	0	162.5	2975.92725061772	2.30122559216006e-06	352253	655441	11	"B7"
