"Trt.name"	"Transect"	"Treatment"	"Livestock.density"	"Boma.density"	"Plot.name"	"Block"	"Replicate"	"Harvest"	"Harvest.date"	"Reharvest.date"	"GrassNetReharvestBiomass1"	"DwarfShrubNetReharvestBiomass1"	"HerbNetReharvestBiomass1"	"ClimberNetReharvestBiomass1"	"TotalBiomass1"	"GrassNetReharvestBiomass0"	"DwarfShrubNetReharvestBiomass0"	"HerbNetReharvestBiomass0"	"ClimberNetReharvestBiomass0"	"TotalBiomass0"	"rain.mm"	"X"	"Y"	"nearest_in_set2"	"min_distExclosures"	"boma_density"	"Date"	"Burchells_ZebraMetBio"	"CattleMetBio"	"Grants_GazelleMetBio"	"Greater_KuduMetBio"	"Swaynes_HartebeestMetBio"	"harvest_code"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P2"	"B1"	2	"double"	2012-11-25	2013-06-21	10.8	2	0	0	12.8	48.6	1.4	0	0	50	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P3"	"B1"	3	"double"	2012-11-25	2013-06-21	25.4	0	0	0	25.4	66.9	0	0	0	66.9	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P4"	"B1"	4	"double"	2012-11-25	2013-06-21	26.3	0	0	0.8	27.1	98.8	2.2	0	0	101	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P5"	"B1"	5	"double"	2012-11-25	2013-06-21	21.4	-1.5	0	0	19.9	6.2	9.7	0	1.3	17.2	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P3"	"B1"	3	"double"	2013-06-21	2013-11-21	62.6	0	0	0	62.6	44.1	0	0	6.1	50.2	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P4"	"B1"	4	"double"	2013-06-21	2013-11-21	77.7	7.4	3.3	0	88.4	13.4	9.7	1.9	0	25	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P4"	"B1"	4	"double"	NA	2012-11-25	231.2	3.4	1.2	0	235.8	231.2	3.4	1.2	0	235.8	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Exclosure"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P2"	"B1"	2	"double"	NA	2012-11-25	101.1	5.9	0	0	107	101.1	5.9	0	0	107	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P5"	"B1"	5	"double"	NA	2012-11-25	21.2	17.9	0.6	0	39.7	21.2	17.9	0.6	0	39.7	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P1"	"B1"	1	"double"	2013-06-21	2013-11-21	71.7	0	0	0	71.7	91.8	23.5	0	2.9	118.2	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P2"	"B1"	2	"double"	2013-06-21	2013-11-21	23.6	8.4	9.4	20.8	62.2	124.1	0	0	0	124.1	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P3"	"B1"	3	"double"	2013-06-21	2013-11-21	62	15.9	0	0	77.9	71.9	25.7	0	0	97.6	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P1"	"B1"	1	"double"	NA	2012-11-25	175.6	0	0	0	175.6	175.6	0	0	0	175.6	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P2"	"B1"	2	"double"	NA	2012-11-25	194.6	0	0	0	194.6	194.6	0	0	0	194.6	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Exclosure"
"B1Ex2"	1	"Exclosure"	"Medium"	"High"	"B1Ex2P3"	"B1"	3	"double"	NA	2012-11-25	267.1	12.2	1.1	0	280.4	267.1	12.2	1.1	0	280.4	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Exclosure"
