Counting,Year,Month,Date,TimePeriod,Zone1,Zone,Species,Total,Bio,MetBio,Distancefromroad,Directionfromroad,X_observed,Y_observed,X_estimated,Y_estimated,Notes,date
2,2012,10,26,Morning,C1,C1,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C3,C3,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C4,C4,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,S1,S1,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A1,A1,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A2,A2,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A3,A3,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A4,A4,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B1,B1,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B2,B2,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B3,B3,Grants_Gazelle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B4,B4A,Grants_Gazelle,1,50,37.5,40,,,,,,,26.10.2012
2,2012,10,26,Morning,B4,B4B,Grants_Gazelle,4,200,150,200,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1A,Grants_Gazelle,3,150,112.5,110,,,,,,,26.10.2012
