"Zone" "Area_km2" "Xcent" "Ycent" "Anubis_Baboon" "Burchells_Zebra" "Cattle" "Cutter_of_grass" "Grants_Gazelle" "Greater_Kudu" "Pastoralist" "Swaynes_Hartebeest" "Burchells_ZebraBio" "Burchells_ZebraMetBio" "Burchells_ZebraTLU" "CattleBio" "CattleMetBio" "CattleTLU" "Grants_GazelleBio" "Grants_GazelleMetBio" "Grants_GazelleTLU" "Greater_KuduBio" "Greater_KuduMetBio" "Greater_KuduTLU" "Swaynes_HartebeestBio" "Swaynes_HartebeestMetBio" "Swaynes_HartebeestTLU"
"52" "C3-9.2.2013" 0 0 0 0 0 0 0 0.658847291320662 0 0 0 0 0 0 0 0 0 32.9423645660331 13.7504235827228 0.218706187669753 0 0 0 0 0 0
"53" "C4-25.3.2012" 0 0 0 3.16903561399506 1.49131087717414 0 0 0 0 0 0 322.123149469614 76.0355081098126 1.20937627893327 0 0 0 0 0 0 0 0 0 0 0 0
"54" "C4-26.10.2012" 0 0 0 0 0.745655438587072 0 0 0 0 0 0.745655438587072 161.061574734808 45.2109836185182 0.719099437811484 0 0 0 0 0 0 0 0 0 127.507079998389 37.9446651932406 0.603525630821003
"55" "C4-9.2.2013" 0 0 0 0 0 0 0 0.745655438587072 0 0 0 0 0 0 0 0 0 37.2827719293536 15.0879815948382 0.239980602371016 0 0 0 0 0 0
"56" "D1-25.3.2012" 0 0 0 0 0.507301270117507 0 0 0.0317063293823442 0 0 0 109.577074345382 33.8680175075447 0.538684859302405 0 0 0 1.58531646911721 1.41282046946604 0.0224714952873853 0 0 0 0 0 0
"57" "D1-26.10.2012" 0 0 0 0 1.52190381035252 0 0 0.0317063293823442 0 0 0 328.731223036144 77.202384913516 1.22793593825452 0 0 0 1.58531646911721 1.41282046946604 0.0224714952873853 0 0 0 0 0 0
"58" "D2-25.3.2012" 0 0 0 0 0 0 0 0.021043983609262 0 0 0 0 0 0 0 0 0 1.0521991804631 1.03889933768256 0.0165241246678883 0 0 0 0 0 0
"59" "D2-26.10.2012" 0 0 0 0 1.97813445927063 0 0 0.315659754138931 0.10521991804631 0 0 427.277043202456 93.9792921731238 1.49477960351063 0 0 0 15.7829877069465 7.91848163268972 0.125946733175153 21.043983609262 9.82530331212236 0.156275522507777 0 0 0
"60" "D2-9.2.2013" 0 0 0 0 0.526099590231551 0 0 0.0631319508277861 0 0 0 113.637511490015 34.8049717835523 0.553587505500446 0 0 0 3.1565975413893 2.36817837171304 0.0376668587904519 0 0 0 0 0 0
"61" "D3-25.3.2012" 0 0 0 0 0.570852965238643 4.89302541633122 0 0 0 0.407752118027602 0 123.304240491547 37.0027080656123 0.588543412193879 1223.25635408281 206.841705590854 3.28990307889317 0 0 0 0 0 0 0 0 0
"62" "D3-26.10.2012" 0 0 0 0 15.0052779434157 0 0 1.46790762489937 0 0 0 3241.14003577779 429.559518185854 6.83232222152975 0 0 0 73.3953812449685 25.0756123896047 0.398838010787221 0 0 0 0 0 0
"63" "D3-9.2.2013" 0 0 0 0 0 0 0 0.407752118027602 0 0 0 0 0 0 0 0 0 20.3876059013801 9.59455137046069 0.152605317211584 0 0 0 0 0 0
"64" "D4-25.3.2012" 0 0 0 0 0.927293617965872 7.27568838711684 0 0.0713302783050671 0 0 0 200.295421480628 53.2418658044781 0.846833948384896 1818.92209677921 278.522685642635 4.43001878378349 3.56651391525335 2.59527236387546 0.0412788828833645 0 0 0 0 0 0
"65" "D4-26.10.2012" 0 0 0 0 2.63922029728748 0 0 0.570642226440536 0 0 0 570.071584214096 116.666735342229 1.85563279276975 0 0 0 28.5321113220268 12.3452654419625 0.196356564897044 0 0 0 0 0 0
"66" "D4-8.2.2013" 0 0 0 0 0 0 0 0.356651391525335 0 0 0 0 0 0 0 0 0 17.8325695762667 8.67781616057478 0.138024263642536 0 0 0 0 0 0
"67" "D4-9.2.2013" 0 0 0 0 0.356651391525335 0 0 1.14128445288107 0 0 0 77.0367005694724 26.0029879950597 0.41358830425904 0 0 0 57.0642226440535 20.7621789110037 0.330231063066916 0 0 0 0 0 0
"68" "S1-25.3.2012" 0 0 0 0 1.39933466301223 0 0 0 0 0 0 302.256287210642 72.4905688069842 1.15299254967737 0 0 0 0 0 0 0 0 0 0 0 0
"69" "S1-26.10.2012" 0 0 0 7.15215494428471 2.64318769680087 0 0 0.777408146117904 0 0 0 570.928542508988 116.798244815642 1.85772450546496 0 0 0 38.8704073058952 15.5673366953655 0.247604943973708 0 0 0 0 0 0
