Transect	Treatment	Livestock density	Boma.density	Plot name	Block	Plot.pair	Trt.name	Replicate	Harvest	Harvest.date	Reharvest.date	GrassNetReharvestBiomass1	DwarfShrubNetReharvestBiomass1	HerbNetReharvestBiomass1	ClimberNetReharvestBiomass1	TotalBiomass1	GrassNetReharvestBiomass0	DwarfShrubNetReharvestBiomass0	HerbNetReharvestBiomass0	ClimberNetReharvestBiomass0	TotalBiomass0	rain.mm	min_distExclosures	boma_density	Total.cumulative.biomass
2	Control	High	High	B2Ex1Cp1P1	B2	B3	B2Ex1	1	double		25.11.2012	16.9	0	0.7	0	17.6	16.9	0	0.7	0	17.6	81.00000072	2391.465228	2.77E-06	17.6
2	Control	High	High	B2Ex1Cp1P2	B2	B3	B2Ex1	2	double		25.11.2012	40	7.4	2.1	0	49.5	40	7.4	2.1	0	49.5	81.00000072	2391.465228	2.77E-06	49.5
2	Control	High	High	B2Ex1Cp1P3	B2	B3	B2Ex1	3	double		25.11.2012	38.2	0	0	0	38.2	38.2	0	0	0	38.2	81.00000072	2391.465228	2.77E-06	38.2
2	Control	High	High	B2Ex1Cp1P4	B2	B3	B2Ex1	4	double		25.11.2012	57	0	0	0	57	57	0	0	0	57	81.00000072	2391.465228	2.77E-06	57
2	Control	High	High	B2Ex1Cp1P5	B2	B3	B2Ex1	5	double		25.11.2012	24.7	0	0	0	24.7	24.7	0	0	0	24.7	81.00000072	2391.465228	2.77E-06	24.7
2	Exclosure	Medium	High	B2Ex2P1	B2	B4	B2Ex2	1	double		25.11.2012	130.2	0	7.9	0	138.1	130.2	0	7.9	0	138.1	81.00000072	2975.927251	2.30E-06	138.1
2	Exclosure	Medium	High	B2Ex2P2	B2	B4	B2Ex2	2	double		25.11.2012	129.7	11.9	0	0	141.6	129.7	11.9	0	0	141.6	81.00000072	2975.927251	2.30E-06	141.6
2	Exclosure	Medium	High	B2Ex2P3	B2	B4	B2Ex2	3	double		25.11.2012	207.2	0	0	0	207.2	207.2	0	0	0	207.2	81.00000072	2975.927251	2.30E-06	207.2
2	Exclosure	Medium	High	B2Ex2P4	B2	B4	B2Ex2	4	double		25.11.2012	133.5	0.9	0	0	134.4	133.5	0.9	0	0	134.4	81.00000072	2975.927251	2.30E-06	134.4
2	Exclosure	Medium	High	B2Ex2P5	B2	B4	B2Ex2	5	double		25.11.2012	82.6	2.2	1	3.7	89.5	82.6	2.2	1	3.7	89.5	81.00000072	2975.927251	2.30E-06	89.5
2	Control	Medium	High	B2Ex2Cp1P1	B2	B4	B2Ex2	1	double		25.11.2012	181.4	3.2	3.9	8.8	197.3	181.4	3.2	3.9	8.8	197.3	81.00000072	2975.927251	2.30E-06	197.3
2	Control	Medium	High	B2Ex2Cp1P2	B2	B4	B2Ex2	2	double		25.11.2012	103	11.3	0	0	114.3	103	11.3	0	0	114.3	81.00000072	2975.927251	2.30E-06	114.3
2	Control	Medium	High	B2Ex2Cp1P3	B2	B4	B2Ex2	3	double		25.11.2012	167.9	0	0.6	0	168.5	167.9	0	0.6	0	168.5	81.00000072	2975.927251	2.30E-06	168.5
2	Control	Medium	High	B2Ex2Cp1P4	B2	B4	B2Ex2	4	double		25.11.2012	98.2	0	0	0	98.2	98.2	0	0	0	98.2	81.00000072	2975.927251	2.30E-06	98.2
2	Control	Medium	High	B2Ex2Cp1P5	B2	B4	B2Ex2	5	double		25.11.2012	162.5	0	0	0	162.5	162.5	0	0	0	162.5	81.00000072	2975.927251	2.30E-06	162.5
3	Exclosure	High	Low	B3Ex1P1	B3	B5	B3Ex1	1	double		25.11.2012	173.5	0	95.6	0	269.1	173.5	0	95.6	0	269.1	78.30000034	2342.85544	1.42E-06	269.1
3	Exclosure	High	Low	B3Ex1P2	B3	B5	B3Ex1	2	double		25.11.2012	128.4	0	0	0	128.4	128.4	0	0	0	128.4	78.30000034	2342.85544	1.42E-06	128.4
3	Exclosure	High	Low	B3Ex1P3	B3	B5	B3Ex1	3	double		25.11.2012	110.3	0	0	0	110.3	110.3	0	0	0	110.3	78.30000034	2342.85544	1.42E-06	110.3
3	Exclosure	High	Low	B3Ex1P4	B3	B5	B3Ex1	4	double		25.11.2012	106.9	0	0	0	106.9	106.9	0	0	0	106.9	78.30000034	2342.85544	1.42E-06	106.9
3	Exclosure	High	Low	B3Ex1P5	B3	B5	B3Ex1	5	double		25.11.2012	133.1	0	0	0	133.1	133.1	0	0	0	133.1	78.30000034	2342.85544	1.42E-06	133.1
3	Rodent Exclosure	High	Low	B3Ex1Cex01	B3	B5	B3Ex1	6	double		25.11.2012	74.2	0	1.5	0	75.7	74.2	0	1.5	0	75.7		2342.85544	1.42E-06	75.7
3	Rodent Exclosure	High	Low	B3Ex1Cex02	B3	B5	B3Ex1	7	double		25.11.2012	142.3	0	0	0	142.3	142.3	0	0	0	142.3		2342.85544	1.42E-06	142.3
3	Control	High	Low	B3Ex1Cp1p1	B3	B5	B3Ex1	1	double		25.11.2012	116.3	0	43.7	0	160	116.3	0	43.7	0	160	78.30000034	2342.85544	1.42E-06	160
3	Control	High	Low	B3Ex1Cp1p2	B3	B5	B3Ex1	2	double		25.11.2012	4.7	29.7	1.3	0	35.7	4.7	29.7	1.3	0	35.7	78.30000034	2342.85544	1.42E-06	35.7
3	Control	High	Low	B3Ex1Cp1p3	B3	B5	B3Ex1	3	double		25.11.2012	25.3	16.5	0	0	41.8	25.3	16.5	0	0	41.8	78.30000034	2342.85544	1.42E-06	41.8
3	Control	High	Low	B3Ex1Cp1p4	B3	B5	B3Ex1	4	double		25.11.2012	23.5	0	14.4	0	37.9	23.5	0	14.4	0	37.9	78.30000034	2342.85544	1.42E-06	37.9
3	Control	High	Low	B3Ex1Cp1p5	B3	B5	B3Ex1	5	double		25.11.2012	26.3	20.5	16.8	0	63.6	26.3	20.5	16.8	0	63.6	78.30000034	2342.85544	1.42E-06	63.6
3	Control triangle	High	Low	B3C1P1	B3	B5	B3C1	1	double		25.11.2012	100.4	0	15	0	115.4	100.4	0	15	0	115.4		2496.454481	1.47E-06	115.4
3	Control triangle	High	Low	B3C1P2	B3	B5	B3C1	2	double		25.11.2012	22.7	0	27.1	0	49.8	22.7	0	27.1	0	49.8		2496.454481	1.47E-06	49.8
3	Control triangle	High	Low	B3C1P3	B3	B5	B3C1	3	double		25.11.2012	30.8	0	18.2	2.4	51.4	30.8	0	18.2	2.4	51.4		2496.454481	1.47E-06	51.4
3	Control triangle	High	Low	B3C1P4	B3	B5	B3C1	4	double		25.11.2012	78.1	37	16.6	0	131.7	78.1	37	16.6	0	131.7		2496.454481	1.47E-06	131.7
3	Control triangle	High	Low	B3C1P5	B3	B5	B3C1	5	double		25.11.2012	100.5	6.2	0.01	0	106.71	100.5	6.2	0.01	0	106.71		2496.454481	1.47E-06	106.71
3	Enclosure	High	Low	B3En1P1	B3	B5	B3En1	1	double		25.11.2012	144.6	7.7	8.4	0	160.7	144.6	7.7	8.4	0	160.7		2019.719985	1.22E-06	160.7
3	Enclosure	High	Low	B3En1P2	B3	B5	B3En1	2	double		25.11.2012	142.9	13.7	33.9	0	190.5	142.9	13.7	33.9	0	190.5		2019.719985	1.22E-06	190.5
3	Enclosure	High	Low	B3En1P3	B3	B5	B3En1	3	double		25.11.2012	190.1	0	18.1	0	208.2	190.1	0	18.1	0	208.2		2019.719985	1.22E-06	208.2
3	Enclosure	High	Low	B3En1P4	B3	B5	B3En1	4	double		25.11.2012	96.6	17.2	20.2	0	134	96.6	17.2	20.2	0	134		2019.719985	1.22E-06	134
3	Enclosure	High	Low	B3En1P5	B3	B5	B3En1	5	double		25.11.2012	191.4	7.6	41.6	0	240.6	191.4	7.6	41.6	0	240.6		2019.719985	1.22E-06	240.6
3	Exclosure	Medium	Low	B3Ex2P1	B3	B6	B3Ex2	1	double		25.11.2012	181	2.4	0	0	183.4	181	2.4	0	0	183.4	78.30000034	2308.957475	1.24E-06	183.4
3	Exclosure	Medium	Low	B3Ex2P2	B3	B6	B3Ex2	2	double		25.11.2012	83.3	0	0	2.5	85.8	83.3	0	0	2.5	85.8	78.30000034	2308.957475	1.24E-06	85.8
