Counting	Year	Month	Date	TimePeriod	Zone1	Zone	Species	Total	Adult	Juvenile	Male	Female	Distancefromroad	Directionfromroad	X_observed	Y_observed	X_estimated	Y_estimated	Notes
2	2012	10	26	Morning	D3	D3D	Burchells_Zebra	8	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3D	Grants_Gazelle	5	NA	NA	1	NA	100	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D4	D4A	Burchells_Zebra	30	NA	NA	NA	NA	200	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C4	C4A	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D4	D4B	Burchells_Zebra	7	NA	NA	1	NA	50	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C4	C4B	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D4	D4C	Grants_Gazelle	8	5	3	1	7	150	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C4	C4C	Swaynes_Hartebeest	4	NA	NA	NA	NA	200	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C4	C4C	Burchells_Zebra	4	NA	NA	NA	NA	200	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	S1	S1A	Burchells_Zebra	17	16	1	NA	NA	300	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	S1	S1A	Grants_Gazelle	5	NA	NA	1	NA	300	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	S1	S1A	Anubis_Baboon	46	NA	NA	NA	NA	300	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	B4	B4A	Grants_Gazelle	1	NA	NA	1	NA	40	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	A4	A4A	Greater_Kudu	1	NA	NA	1	NA	150	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	B4	B4B	Grants_Gazelle	4	NA	NA	1	3	200	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	A3	A3A	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	B3	B3A	Greater_Kudu	1	NA	NA	1	NA	350	NA	NA	NA	NA	NA	NA
